Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
linea-cashmere-crew,"Linea Cashmere Crew",,KOVA,Knitwear,"new, knitwear",TRUE,Color,Ink,Size,XS,,,"LINE-INK-XS",0,shopify,4,deny,manual,410.00,,TRUE,TRUE,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?auto=format&fit=crop&w=900&q=80,2,Linea Cashmere Crew in Ink,,kg,,
linea-cashmere-crew,"Linea Cashmere Crew",,KOVA,Knitwear,"new, knitwear",TRUE,Color,Ink,Size,S,,,"LINE-INK-S",0,shopify,7,deny,manual,410.00,,TRUE,TRUE,,,,,kg,,
linea-cashmere-crew,"Linea Cashmere Crew",,KOVA,Knitwear,"new, knitwear",TRUE,Color,Ink,Size,M,,,"LINE-INK-M",0,shopify,5,deny,manual,410.00,,TRUE,TRUE,,,,,kg,,
linea-cashmere-crew,"Linea Cashmere Crew",,KOVA,Knitwear,"new, knitwear",TRUE,Color,Ink,Size,L,,,"LINE-INK-L",0,shopify,3,deny,manual,410.00,,TRUE,TRUE,,,,,kg,,
linea-cashmere-crew,"Linea Cashmere Crew",,KOVA,Knitwear,"new, knitwear",TRUE,Color,Clay,Size,XS,,,"LINE-CLA-XS",0,shopify,4,deny,manual,410.00,,TRUE,TRUE,,,,,kg,,
linea-cashmere-crew,"Linea Cashmere Crew",,KOVA,Knitwear,"new, knitwear",TRUE,Color,Clay,Size,S,,,"LINE-CLA-S",0,shopify,6,deny,manual,410.00,,TRUE,TRUE,,,,,kg,,
linea-cashmere-crew,"Linea Cashmere Crew",,KOVA,Knitwear,"new, knitwear",TRUE,Color,Clay,Size,M,,,"LINE-CLA-M",0,shopify,5,deny,manual,410.00,,TRUE,TRUE,,,,,kg,,
linea-cashmere-crew,"Linea Cashmere Crew",,KOVA,Knitwear,"new, knitwear",TRUE,Color,Clay,Size,L,,,"LINE-CLA-L",0,shopify,4,deny,manual,410.00,,TRUE,TRUE,,,,,kg,,
otto-calfskin-mule,"Otto Calfskin Mule","<p>A square-toe calfskin mule on a low stacked block heel. Lined in soft suede with a leather sole.</p><p><strong>Materials &amp; Care:</strong> Upper: 100% calfskin leather. Lining: suede. Sole: leather. Made in Italy.</p>",KOVA,Footwear,"accessories, footwear",TRUE,Color,Ink,Size,37,,,"OTTO-INK-37",0,shopify,4,deny,manual,360.00,,TRUE,TRUE,https://images.unsplash.com/photo-1543163521-1bf539c55dd2?auto=format&fit=crop&w=900&q=80,1,Otto Calfskin Mule in Ink,,kg,,
otto-calfskin-mule,"Otto Calfskin Mule",,KOVA,Footwear,"accessories, footwear",TRUE,Color,Ink,Size,38,,,"OTTO-INK-38",0,shopify,6,deny,manual,360.00,,TRUE,TRUE,,,,,kg,,
otto-calfskin-mule,"Otto Calfskin Mule",,KOVA,Footwear,"accessories, footwear",TRUE,Color,Ink,Size,39,,,"OTTO-INK-39",0,shopify,5,deny,manual,360.00,,TRUE,TRUE,,,,,kg,,
otto-calfskin-mule,"Otto Calfskin Mule",,KOVA,Footwear,"accessories, footwear",TRUE,Color,Ink,Size,40,,,"OTTO-INK-40",0,shopify,3,deny,manual,360.00,,TRUE,TRUE,,,,,kg,,
otto-calfskin-mule,"Otto Calfskin Mule",,KOVA,Footwear,"accessories, footwear",TRUE,Color,Clay,Size,37,,,"OTTO-CLA-37",0,shopify,5,deny,manual,360.00,,TRUE,TRUE,https://images.unsplash.com/photo-1614253429340-98120bd6d753?auto=format&fit=crop&w=900&q=80,2,Otto Calfskin Mule in Clay,,kg,,
otto-calfskin-mule,"Otto Calfskin Mule",,KOVA,Footwear,"accessories, footwear",TRUE,Color,Clay,Size,38,,,"OTTO-CLA-38",0,shopify,7,deny,manual,360.00,,TRUE,TRUE,,,,,kg,,
otto-calfskin-mule,"Otto Calfskin Mule",,KOVA,Footwear,"accessories, footwear",TRUE,Color,Clay,Size,39,,,"OTTO-CLA-39",0,shopify,4,deny,manual,360.00,,TRUE,TRUE,,,,,kg,,
otto-calfskin-mule,"Otto Calfskin Mule",,KOVA,Footwear,"accessories, footwear",TRUE,Color,Clay,Size,40,,,"OTTO-CLA-40",0,shopify,3,deny,manual,360.00,,TRUE,TRUE,,,,,kg,,
ines-bias-linen-dress,"Ines Bias Linen Dress","<p>A bias-cut midi dress in heavyweight European linen. Slim spaghetti straps with a subtle cowl back.</p><p><strong>Materials &amp; Care:</strong> 100% European flax linen, certified Masters of Linen. Machine wash cold. Made in Lithuania.</p>",KOVA,Dress,"eco, dresses, clothing",TRUE,Color,Sand,Size,XS,,,"INES-SND-XS",0,shopify,5,deny,manual,380.00,,TRUE,TRUE,https://images.unsplash.com/photo-1583744946564-b52ac1c389c8?auto=format&fit=crop&w=900&q=80,1,Ines Bias Linen Dress in Sand,,kg,,
ines-bias-linen-dress,"Ines Bias Linen Dress",,KOVA,Dress,"eco, dresses, clothing",TRUE,Color,Sand,Size,S,,,"INES-SND-S",0,shopify,8,deny,manual,380.00,,TRUE,TRUE,,,,,kg,,
ines-bias-linen-dress,"Ines Bias Linen Dress",,KOVA,Dress,"eco, dresses, clothing",TRUE,Color,Sand,Size,M,,,"INES-SND-M",0,shopify,6,deny,manual,380.00,,TRUE,TRUE,,,,,kg,,
ines-bias-linen-dress,"Ines Bias Linen Dress",,KOVA,Dress,"eco, dresses, clothing",TRUE,Color,Sand,Size,L,,,"INES-SND-L",0,shopify,4,deny,manual,380.00,,TRUE,TRUE,,,,,kg,,
ines-bias-linen-dress,"Ines Bias Linen Dress",,KOVA,Dress,"eco, dresses, clothing",TRUE,Color,Ink,Size,XS,,,"INES-INK-XS",0,shopify,4,deny,manual,380.00,,TRUE,TRUE,https://images.unsplash.com/photo-1525507119028-ed4c629a60a3?auto=format&fit=crop&w=900&q=80,2,Ines Bias Linen Dress in Ink,,kg,,
ines-bias-linen-dress,"Ines Bias Linen Dress",,KOVA,Dress,"eco, dresses, clothing",TRUE,Color,Ink,Size,S,,,"INES-INK-S",0,shopify,6,deny,manual,380.00,,TRUE,TRUE,,,,,kg,,
ines-bias-linen-dress,"Ines Bias Linen Dress",,KOVA,Dress,"eco, dresses, clothing",TRUE,Color,Ink,Size,M,,,"INES-INK-M",0,shopify,5,deny,manual,380.00,,TRUE,TRUE,,,,,kg,,
ines-bias-linen-dress,"Ines Bias Linen Dress",,KOVA,Dress,"eco, dresses, clothing",TRUE,Color,Ink,Size,L,,,"INES-INK-L",0,shopify,3,deny,manual,380.00,,TRUE,TRUE,,,,,kg,,
carro-structured-tote,"Carro Structured Tote","<p>A structured leather tote in supple full-grain calfskin. Roomy enough for a 13-inch laptop, finished with hand-rolled handles.</p><p><strong>Materials &amp; Care:</strong> 100% full-grain Italian calfskin. Suede lining. Made in Italy.</p>",KOVA,Bag,"accessories",TRUE,Color,Tan,Size,One Size,,,"CARR-TAN-OS",0,shopify,5,deny,manual,540.00,,TRUE,TRUE,https://images.unsplash.com/photo-1591561954557-26941169b49e?auto=format&fit=crop&w=900&q=80,1,Carro Structured Tote in Tan,,kg,,
carro-structured-tote,"Carro Structured Tote",,KOVA,Bag,"accessories",TRUE,Color,Ink,Size,One Size,,,"CARR-INK-OS",0,shopify,4,deny,manual,540.00,,TRUE,TRUE,https://images.unsplash.com/photo-1590874103328-eac38a683ce7?auto=format&fit=crop&w=900&q=80,2,Carro Structured Tote in Ink,,kg,,
carro-structured-tote,"Carro Structured Tote",,KOVA,Bag,"accessories",TRUE,Color,Chalk,Size,One Size,,,"CARR-CHK-OS",0,shopify,3,deny,manual,540.00,,TRUE,TRUE,,,,,kg,,
verra-wool-midi-skirt,"Verra Wool Midi Skirt","<p>A column-cut wool midi skirt with a back vent. Sits high on the waist with a flat front for a clean line.</p><p><strong>Materials &amp; Care:</strong> 100% Italian virgin wool. Viscose lining. Dry clean only. Made in Portugal.</p>",KOVA,Skirt,"clothing",TRUE,Color,Ink,Size,XS,,,"VERR-INK-XS",0,shopify,4,deny,manual,290.00,,TRUE,TRUE,https://images.unsplash.com/photo-1551048632-24e444b48a3e?auto=format&fit=crop&w=900&q=80,1,Verra Wool Midi Skirt in Ink,,kg,,
verra-wool-midi-skirt,"Verra Wool Midi Skirt",,KOVA,Skirt,"clothing",TRUE,Color,Ink,Size,S,,,"VERR-INK-S",0,shopify,6,deny,manual,290.00,,TRUE,TRUE,,,,,kg,,
verra-wool-midi-skirt,"Verra Wool Midi Skirt",,KOVA,Skirt,"clothing",TRUE,Color,Ink,Size,M,,,"VERR-INK-M",0,shopify,5,deny,manual,290.00,,TRUE,TRUE,,,,,kg,,
verra-wool-midi-skirt,"Verra Wool Midi Skirt",,KOVA,Skirt,"clothing",TRUE,Color,Camel,Size,XS,,,"VERR-CAM-XS",0,shopify,4,deny,manual,290.00,,TRUE,TRUE,https://images.unsplash.com/photo-1583846783214-7229a91b20ed?auto=format&fit=crop&w=900&q=80,2,Verra Wool Midi Skirt in Camel,,kg,,
verra-wool-midi-skirt,"Verra Wool Midi Skirt",,KOVA,Skirt,"clothing",TRUE,Color,Camel,Size,S,,,"VERR-CAM-S",0,shopify,5,deny,manual,290.00,,TRUE,TRUE,,,,,kg,,
verra-wool-midi-skirt,"Verra Wool Midi Skirt",,KOVA,Skirt,"clothing",TRUE,Color,Camel,Size,M,,,"VERR-CAM-M",0,shopify,7,deny,manual,290.00,,TRUE,TRUE,,,,,kg,,
